time_s,Tj_K,Zth_KW
0.0444,309.1300,0.456500
0.0445,309.1340,0.456700
0.0446,309.1380,0.456900
0.0447,309.1420,0.457100
0.0448,309.1460,0.457300
0.0449,309.1500,0.457500
0.0450,309.1540,0.457700
0.0451,309.1580,0.457900
0.0452,309.1620,0.458100
0.0453,309.1660,0.458300
0.0454,309.1700,0.458500
0.0455,309.1740,0.458700
0.0456,309.1780,0.458900
0.0457,309.1810,0.459050
0.0458,309.1850,0.459250
0.0459,309.1890,0.459450
0.0460,309.1930,0.459650
0.0461,309.1970,0.459850
0.0462,309.2010,0.460050
0.0463,309.2040,0.460200
0.0464,309.2080,0.460400
0.0465,309.2120,0.460600
0.0466,309.2160,0.460800
0.0467,309.2190,0.460950
0.0468,309.2230,0.461150
0.0469,309.2270,0.461350
0.0470,309.2300,0.461500
0.0471,309.2340,0.461700
0.0472,309.2380,0.461900
0.0473,309.2410,0.462050
0.0474,309.2450,0.462250
0.0475,309.2490,0.462450
0.0476,309.2520,0.462600
0.0477,309.2560,0.462800
0.0478,309.2590,0.462950
0.0479,309.2630,0.463150
0.0480,309.2670,0.463350
0.0481,309.2700,0.463500
0.0482,309.2740,0.463700
0.0483,309.2770,0.463850
0.0484,309.2810,0.464050
0.0485,309.2840,0.464200
0.0486,309.2880,0.464400
0.0487,309.2910,0.464550
0.0488,309.2950,0.464750
0.0489,309.2980,0.464900
0.0490,309.3020,0.465100
0.0491,309.3050,0.465250
0.0492,309.3090,0.465450
0.0493,309.3120,0.465600
0.0494,309.3150,0.465750
0.0495,309.3190,0.465950
0.0496,309.3220,0.466100
0.0497,309.3250,0.466250
0.0498,309.3290,0.466450
0.0499,309.3320,0.466600
0.0500,309.3350,0.466750
0.0501,309.3390,0.466950
0.0502,309.3420,0.467100
0.0503,309.3450,0.467250
0.0504,309.3490,0.467450
0.0505,309.3520,0.467600
0.0506,309.3550,0.467750
0.0507,309.3580,0.467900
0.0508,309.3620,0.468100
0.0509,309.3650,0.468250
0.0510,309.3680,0.468400
0.0511,309.3710,0.468550
0.0512,309.3750,0.468750
0.0513,309.3780,0.468900
0.0514,309.3810,0.469050
0.0515,309.3840,0.469200
0.0516,309.3870,0.469350
0.0517,309.3900,0.469500
0.0518,309.3940,0.469700
0.0519,309.3970,0.469850
0.0520,309.4000,0.470000
0.0521,309.4030,0.470150
0.0522,309.4060,0.470300
0.0523,309.4090,0.470450
0.0524,309.4120,0.470600
0.0525,309.4150,0.470750
0.0526,309.4180,0.470900
0.0527,309.4210,0.471050
0.0528,309.4240,0.471200
0.0529,309.4270,0.471350
0.0530,309.4300,0.471500
0.0531,309.4340,0.471700
0.0532,309.4370,0.471850
0.0533,309.4400,0.472000
0.0534,309.4430,0.472150
0.0535,309.4450,0.472250
0.0536,309.4480,0.472400
0.0537,309.4510,0.472550
0.0538,309.4540,0.472700
0.0539,309.4570,0.472850
0.0540,309.4600,0.473000
0.0541,309.4630,0.473150
0.0542,309.4660,0.473300
0.0543,309.4690,0.473450
0.0544,309.4720,0.473600
0.0545,309.4750,0.473750
0.0546,309.4780,0.473900
0.0547,309.4810,0.474050
0.0548,309.4830,0.474150
0.0549,309.4860,0.474300
0.0550,309.4890,0.474450
0.0551,309.4920,0.474600
0.0552,309.4950,0.474750
0.0553,309.4980,0.474900
0.0554,309.5000,0.475000
0.0555,309.5030,0.475150
0.0556,309.5060,0.475300
0.0557,309.5090,0.475450
0.0558,309.5120,0.475600
0.0559,309.5140,0.475700
0.0560,309.5170,0.475850
0.0561,309.5200,0.476000
0.0562,309.5230,0.476150
0.0563,309.5250,0.476250
0.0564,309.5280,0.476400
0.0565,309.5310,0.476550
0.0566,309.5340,0.476700
0.0567,309.5360,0.476800
0.0568,309.5390,0.476950
0.0569,309.5420,0.477100
0.0570,309.5440,0.477200
0.0571,309.5470,0.477350
0.0572,309.5500,0.477500
0.0573,309.5520,0.477600
0.0574,309.5550,0.477750
0.0575,309.5580,0.477900
0.0576,309.5600,0.478000
0.0577,309.5630,0.478150
0.0578,309.5660,0.478300
0.0579,309.5680,0.478400
0.0580,309.5710,0.478550
0.0581,309.5740,0.478700
0.0582,309.5760,0.478800
0.0583,309.5790,0.478950
0.0584,309.5810,0.479050
0.0585,309.5840,0.479200
0.0586,309.5860,0.479300
0.0587,309.5890,0.479450
0.0588,309.5910,0.479550
0.0589,309.5940,0.479700
0.0590,309.5970,0.479850
0.0591,309.5990,0.479950
0.0592,309.6020,0.480100
0.0593,309.6040,0.480200
0.0594,309.6070,0.480350
0.0595,309.6090,0.480450
0.0596,309.6120,0.480600
0.0597,309.6140,0.480700
0.0598,309.6170,0.480850
0.0599,309.6190,0.480950
0.0600,309.6220,0.481100
0.0601,309.6240,0.481200
0.0602,309.6270,0.481350
0.0603,309.6290,0.481450
0.0604,309.6320,0.481600
0.0605,309.6340,0.481700
0.0606,309.6360,0.481800
0.0607,309.6390,0.481950
0.0608,309.6410,0.482050
0.0609,309.6440,0.482200
0.0610,309.6460,0.482300
0.0611,309.6480,0.482400
0.0612,309.6510,0.482550
0.0613,309.6530,0.482650
0.0614,309.6560,0.482800
0.0615,309.6580,0.482900
0.0616,309.6600,0.483000
0.0617,309.6630,0.483150
0.0618,309.6650,0.483250
