time_s,Tj_K,Zth_KW
0.0605,307.6960,0.384800
0.0606,307.6980,0.384900
0.0607,307.6990,0.384950
0.0608,307.7010,0.385050
0.0609,307.7030,0.385150
0.0610,307.7040,0.385200
0.0611,307.7060,0.385300
0.0612,307.7080,0.385400
0.0613,307.7090,0.385450
0.0614,307.7110,0.385550
0.0615,307.7130,0.385650
0.0616,307.7140,0.385700
0.0617,307.7160,0.385800
0.0618,307.7180,0.385900
0.0619,307.7190,0.385950
0.0620,307.7210,0.386050
0.0621,307.7230,0.386150
0.0622,307.7250,0.386250
0.0623,307.7260,0.386300
0.0624,307.7280,0.386400
0.0625,307.7290,0.386450
0.0626,307.7310,0.386550
0.0627,307.7330,0.386650
0.0628,307.7340,0.386700
0.0629,307.7360,0.386800
0.0630,307.7380,0.386900
0.0631,307.7390,0.386950
0.0632,307.7410,0.387050
0.0633,307.7430,0.387150
0.0634,307.7440,0.387200
0.0635,307.7460,0.387300
0.0636,307.7470,0.387350
0.0637,307.7490,0.387450
0.0638,307.7510,0.387550
0.0639,307.7520,0.387600
0.0640,307.7540,0.387700
0.0641,307.7550,0.387750
0.0642,307.7570,0.387850
0.0643,307.7590,0.387950
0.0644,307.7600,0.388000
0.0645,307.7620,0.388100
0.0646,307.7630,0.388150
0.0647,307.7650,0.388250
0.0648,307.7670,0.388350
0.0649,307.7680,0.388400
0.0650,307.7700,0.388500
0.0651,307.7710,0.388550
0.0652,307.7730,0.388650
0.0653,307.7740,0.388700
0.0654,307.7760,0.388800
0.0655,307.7780,0.388900
0.0656,307.7790,0.388950
0.0657,307.7810,0.389050
0.0658,307.7820,0.389100
0.0659,307.7840,0.389200
0.0660,307.7850,0.389250
0.0661,307.7870,0.389350
0.0662,307.7880,0.389400
0.0663,307.7900,0.389500
0.0664,307.7910,0.389550
0.0665,307.7930,0.389650
0.0666,307.7950,0.389750
0.0667,307.7960,0.389800
0.0668,307.7980,0.389900
0.0669,307.7990,0.389950
0.0670,307.8010,0.390050
0.0671,307.8020,0.390100
0.0672,307.8040,0.390200
0.0673,307.8050,0.390250
0.0674,307.8070,0.390350
0.0675,307.8080,0.390400
0.0676,307.8100,0.390500
0.0677,307.8110,0.390550
0.0678,307.8130,0.390650
0.0679,307.8140,0.390700
0.0680,307.8160,0.390800
0.0681,307.8170,0.390850
0.0682,307.8190,0.390950
0.0683,307.8200,0.391000
0.0684,307.8220,0.391100
0.0685,307.8230,0.391150
0.0686,307.8250,0.391250
0.0687,307.8260,0.391300
0.0688,307.8270,0.391350
0.0689,307.8290,0.391450
0.0690,307.8300,0.391500
0.0691,307.8320,0.391600
0.0692,307.8330,0.391650
0.0693,307.8350,0.391750
0.0694,307.8360,0.391800
0.0695,307.8380,0.391900
0.0696,307.8390,0.391950
0.0697,307.8410,0.392050
0.0698,307.8420,0.392100
0.0699,307.8440,0.392200
0.0700,307.8450,0.392250
0.0701,307.8460,0.392300
0.0702,307.8480,0.392400
0.0703,307.8490,0.392450
0.0704,307.8510,0.392550
0.0705,307.8520,0.392600
0.0706,307.8540,0.392700
0.0707,307.8550,0.392750
0.0708,307.8560,0.392800
0.0709,307.8580,0.392900
0.0710,307.8590,0.392950
0.0711,307.8610,0.393050
0.0712,307.8620,0.393100
0.0713,307.8640,0.393200
0.0714,307.8650,0.393250
